Column 1,Column 2,Column 3
SatSep 092:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 098:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 098:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatSep 098:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SunSep 101:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SunSep 106:30 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonSep 117:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonSep 118:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueSep 127:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueSep 127:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
TueSep 127:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
WedSep 132:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 138:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 138:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
ThuSep 147:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriSep 158:00 PM,Hello Dolly,"Shubert Theatre-NYC
New York, NY"
FriSep 158:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriSep 158:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatSep 162:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 162:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatSep 168:00 PM,2cellos,"Radio City Music Hall
New York, NY"
SatSep 168:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 168:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SunSep 171:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SunSep 176:30 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonSep 187:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonSep 188:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueSep 197:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 201:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
WedSep 202:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 208:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 208:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
ThuSep 217:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriSep 228:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriSep 228:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatSep 232:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 232:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatSep 232:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatSep 238:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 238:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatSep 238:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SunSep 241:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SunSep 246:30 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonSep 257:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonSep 258:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueSep 267:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 272:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 272:00 PM,Wicked,"Gershwin Theatre
New York, NY"
WedSep 278:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedSep 278:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
ThuSep 287:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuSep 287:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
FriSep 298:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriSep 298:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatSep 302:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 302:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatSep 308:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatSep 308:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
MonOct 028:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 037:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 037:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
WedOct 042:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedOct 048:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedOct 048:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
ThuOct 057:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuOct 057:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
FriOct 068:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 072:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 072:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatOct 078:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 078:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
MonOct 098:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 107:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 107:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
WedOct 112:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedOct 118:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedOct 118:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
ThuOct 127:00 PM,Bette Midler in Hello Dolly!,"Shubert Theatre-NYC
New York, NY"
ThuOct 127:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuOct 127:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
FriOct 138:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriOct 138:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatOct 142:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 148:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 148:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
MonOct 168:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 177:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 177:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
WedOct 182:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedOct 188:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedOct 188:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
ThuOct 197:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuOct 197:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
FriOct 208:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriOct 208:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatOct 212:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 218:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 218:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
MonOct 238:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 247:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
