,Date,Day,Event,Time,Venue
79,Aug 30,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
80,Aug 30,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
81,Aug 31,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
82,Sep 01,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
83,Sep 01,Fri,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
84,Sep 02,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
85,Sep 02,Sat,Charlie and the Chocolate Factory,2:00 PM,"Lunt-Fontanne Theater
New York, NY"
86,Sep 02,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
87,Sep 02,Sat,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
88,Sep 04,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
89,Sep 05,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
90,Sep 05,Tue,Charlie and the Chocolate Factory,7:00 PM,"Lunt-Fontanne Theater
New York, NY"
91,Sep 06,Wed,Charlie and the Chocolate Factory,1:00 PM,"Lunt-Fontanne Theater
New York, NY"
92,Sep 06,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
93,Sep 06,Wed,Wicked,2:00 PM,"Gershwin Theatre
New York, NY"
94,Sep 06,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
95,Sep 06,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
96,Sep 07,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
