,Date,Day,Event,Time,Venue
160,Oct 03,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
161,Oct 03,Tue,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
162,Oct 04,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
163,Oct 04,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
164,Oct 04,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
165,Oct 05,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
166,Oct 05,Thu,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
167,Oct 06,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
168,Oct 07,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
169,Oct 07,Sat,Hamilton - New York,2:00 PM,"Richard Rodgers Theatre
New York, NY"
170,Oct 07,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
171,Oct 07,Sat,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
172,Oct 09,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
173,Oct 10,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
174,Oct 10,Tue,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
175,Oct 11,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
176,Oct 11,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
177,Oct 11,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
178,Oct 12,Thu,Bette Midler in Hello Dolly!,7:00 PM,"Shubert Theatre-NYC
New York, NY"
179,Oct 12,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
